Constructor_Name,Constructor_Nation,Count_of_Stop
Sauber,Swiss,2197
HRT,Spanish,541
Marussia,Russian,310
Lotus,Malaysian,140
Caterham,Malaysian,630
Toyota,Japanese,220
Super Aguri,Japanese,0
Honda,Japanese,309
Toro Rosso,Italian,1787
Minardi,Italian,485
Ferrari,Italian,1557
Benetton,Italian,349
AlphaTauri,Italian,304
Alfa Romeo,Italian,384
Jordan,Irish,327
Force India,Indian,1035
Mercedes,German,1085
BMW Sauber,German,451
Renault,French,2427
Prost,French,63
Spyker,Dutch,121
Williams,British,2310
Virgin,British,117
Stewart,British,50
Racing Point,British,775
McLaren,British,2298
Manor Marussia,British,274
Lotus F1,British,961
Jaguar,British,179
Brawn,British,309
BAR,British,259
Arrows,British,37
Red Bull,Austrian,1491
Haas F1 Team,American,653
