Constructor_Name,Constructor_Nation,Millisecond
Sauber,Swiss,123042062
HRT,Spanish,27583119
Marussia,Russian,9863646
Lotus,Malaysian,3466973
Caterham,Malaysian,20277485
Toyota,Japanese,6461813
Super Aguri,Japanese,0	
Honda,Japanese,13031564
Toro Rosso,Italian,106205800
Minardi,Italian,18320972
Ferrari,Italian,77329555
Benetton,Italian,13829461
AlphaTauri,Italian,21187254
Alfa Romeo,Italian,22029475
Jordan,Irish,7825094
Force India,Indian,56316176
Mercedes,German,64083209
BMW Sauber,German,22369702
Renault,French,129259953
Prost,French,1527380
Spyker,Dutch,4191453
Williams,British,111404032
Virgin,British,2824014
Stewart,British,1230851
Racing Point,British,45540608
McLaren,British,127797835
Manor Marussia,British,21370627
Lotus F1,British,43286692
Jaguar,British,4279201
Brawn,British,13031564
BAR,British,11800713
Arrows,British,934171
Red Bull,Austrian,89233505
Haas F1 Team,American,38365221
